mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,0,0.014319581910967827,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,1,0.013875446282327175,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,2,0.014784307219088078,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,3,0.013323812745511532,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,4,0.01274691428989172,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,5,0.015061881393194199,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,6,0.012920081615447998,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,7,0.01410608272999525,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,8,0.014745619148015976,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,9,0.013714675791561604,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,10,0.013942447490990162,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,11,0.013569756411015987,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,12,0.014087898656725883,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,13,0.014146042056381702,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,14,0.013044086284935474,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,0,15,0.01310607697814703,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,0,0.01485272403806448,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,1,0.01392795518040657,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,2,0.01399843581020832,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,3,0.014018900692462921,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,4,0.01314531546086073,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,5,0.014556883834302425,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,6,0.014359044842422009,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,7,0.013447586447000504,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,8,0.01292765885591507,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,9,0.013505851849913597,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,10,0.013897513970732689,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,11,0.013561062514781952,0.0,29303.9609375
EleutherAI/pythia-410m,7,2,step2,405334016,24,16,0,1,12,0.014266528189182281,0.0,29303.9609375
